ID,Number,Material,Material_x,Sample_Type,Reference,Notes,West_Subdomain,Domain,Latitude,Longitude,Height_m,Age_ma,T_age_Ma,B_age_Ma,d18O_smow,d13C,dD,d18Oprecip,timeslice
ELK_IW,IW20,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.5064,-115.8704,NaN,37.7,NaN,NaN,12.7,-4.11,NaN,NaN,pre-OHT
ELK_IW,IW3,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.5064,-115.8704,NaN,38.9,NaN,NaN,10.92,-6.14,NaN,NaN,pre-OHT
ELK_IW,IW32,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.5395,-115.8531,NaN,37,NaN,NaN,11.55,-4.74,NaN,NaN,pre-OHT
ELK_IW,IW33,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.5395,-115.8531,NaN,35.9,NaN,NaN,14.56,-3.22,NaN,NaN,pre-OHT
ELK_IW,IW34,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.5395,-115.8531,NaN,32.8,NaN,NaN,14.59,-3.58,NaN,NaN,pre-OHT
ELK_IW,IW36,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.5395,-115.8531,NaN,30.7,NaN,NaN,14.21,-3.54,NaN,NaN,pre-OHT
ELK_IW,IW37,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.5395,-115.8531,NaN,28.2,NaN,NaN,12.34,-4.35,NaN,NaN,pre-OHT
ELK_IW,IW38,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.5395,-115.8531,NaN,25.4,NaN,NaN,13.52,-3.47,NaN,NaN,NA
ELK_IW,IW39,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.5395,-115.8531,NaN,22.3,NaN,NaN,13.27,-2.93,NaN,NaN,NA
ELK_IW,IW4,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.5064,-115.8704,NaN,38.8,NaN,NaN,10,-11.76,NaN,NaN,pre-OHT
ELK_IW,IW5,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.5064,-115.8704,NaN,38.8,NaN,NaN,8.95,-5.73,NaN,NaN,pre-OHT
ELK_IW,IW6,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.5064,-115.8704,NaN,38.7,NaN,NaN,9.75,-4.57,NaN,NaN,pre-OHT
ELK_IW,IW7,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.5064,-115.8704,NaN,38.6,NaN,NaN,9.13,-3.93,NaN,NaN,pre-OHT
ELK_IW,IW8,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.5064,-115.8704,NaN,38.6,NaN,NaN,9.24,-5.44,NaN,NaN,pre-OHT
